roduid,UWI,lifetime_end,FAILURETYPE,H2S_CONCENTRATION,PrimarySetpoint,SecondarySetpoint,StrokeLength,Fillage,YesterdaysAverageSPM,bha_configuration,chemgroup1_any,chemgroup1_all,chemgroup2_any,chemgroup2_all,chemgroup3_any,chemgroup3_all,max_unguided_dls,dls_high_in_hole,gas_anchor_length,MAX_INCLINATION,wellbore_category,manual_scale,packer_vs_tac,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_DIFFERENTIAL_PRESSURE,AVG_OIL_VOLUME,AVG_WATER_VOLUME,AVG_LIQUID_VOLUME,rod_sinker_type,rod_has_guides,rod_make,rod_apigrade,ROUTE,overall_max_sideload,shallow_max_sideload,max_unguided_sideload,CHROME_LENGTH,ENDURALLOY_LENGTH,POLY_LENGTH,NIPPLE_SET_DEPTH,pump_bore,lifetimedays,contains_imputed
GB27ZQNX39991703552246,018-15-5098,2017-03-18,Tubing,0.0,70.0,65.0,169.4299927,97.50454712,5.875999928,TAC_ABOVE_NIP,0,0,0,0,0,0,1.93,1.69,17.22,2.08,Vertical,N,OTHER_ANCHOR,146.279713,217.054319,79.23401899999998,217.72429900000003,119.495327,337.219626,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,903,184.53,184.53,184.53,0.0,0.0,0.0,10089.4,1.75,206,0
GB34SKQP61418304492445,018-86-9309,2017-02-02,Tubing,0.0,75.0,60.0,169.3999939,95.84999847,5.269999981000001,PACKER_DONNAN,1,0,1,0,0,0,3.65,4.02,20.5,13.12,HighTangent,N,arrowset,101.201201,159.15915900000005,57.957958,168.196721,79.765027,247.96174900000003,SLICK_SINKER_BARS,True,strategize next-generation users,SpecialService,871,363.69,363.69,265.95,0.0,186.42,0.0,10477.3,1.5,343,0
GB46LAED38174575233299,022-25-3044,2018-04-03,Sucker Rod Pump,0.0,75.0,60.0,144.03999330000005,92.84091187,5.3000001910000005,TAC_BELOW_NIP,0,0,0,0,1,1,2.14,4.47,17.25,16.59,HighTangent,N,OTHER_ANCHOR,85.55967199999998,101.537172,15.9775,60.98775500000001,19.265306,80.253061,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,886,272.32,272.32,183.88,0.0,0.0,0.0,9848.0,1.75,242,0
GB72DTPL14966320544194,022-25-3044,2019-07-23,Tubing,6.0,75.0,60.0,144.03999330000005,85.80000305,5.8000001910000005,TAC_BELOW_NIP,0,0,0,0,1,1,2.14,4.47,17.13,16.59,HighTangent,N,OTHER_ANCHOR,73.250975,73.356444,-70.035612,42.600504,13.823277,56.423782,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,886,275.3,275.3,168.6,0.0,258.75,0.0,9857.0,1.75,236,0
GB33OPJN95358306184676,022-25-3044,2018-11-29,Rods,0.0,75.0,60.0,144.03999330000005,83.19999695,7.5,TAC_BELOW_NIP,0,0,0,0,1,1,2.14,4.47,17.13,16.59,HighTangent,N,OTHER_ANCHOR,66.335378,89.41579200000002,23.703112,90.23751,22.455353,112.692863,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,886,273.33,273.33,167.33,0.0,258.75,0.0,9857.0,1.75,239,0
GB36SKZM38226367574229,022-25-3044,2017-01-06,Tubing,0.0,76.0,60.0,144.0,92.55357361,5.3000001910000005,TAC_ABOVE_NIP,0,0,0,0,1,0,4.47,4.47,17.14,16.59,HighTangent,N,OTHER_ANCHOR,78.988112,128.274197,32.421664,139.205607,35.46915900000001,174.674766,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,886,368.33,368.33,368.33,0.0,0.0,0.0,9946.1,1.75,518,0
GB21EDDX37782557243317,022-59-9219,2018-11-20,Tubing,0.0,75.0,60.0,144.02612319999997,89.91538239,6.5,TAC_ABOVE_NIP,1,1,1,1,0,0,1.6774118000000002,0.581760018,17.13,2.73,Vertical,N,OTHER_ANCHOR,119.533071,76.267742,-41.885882,144.598231,60.019381,204.617612,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,904,103.68,46.0,103.68,0.0,0.0,0.0,10077.0,1.75,1295,0
GB37SBZX67315798771037,023-42-4787,2016-12-04,Tubing,0.0,75.0,60.0,139.3548387,97.3583374,5.8000001910000005,TAC_ABOVE_NIP,1,0,1,0,0,0,3.0723853,3.072385287,17.13,4.75,LowTangent,N,OTHER_ANCHOR,122.656207,188.337011,65.530688,185.720183,57.451835,243.172018,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,883,299.69,299.69,299.69,0.0,0.0,0.0,10083.0,1.75,408,0
GB37QPSH55727721441730,023-42-4787,2019-06-15,Tubing,13.0,80.0,66.0,144.0,95.19999695,5.699999809,TAC_ABOVE_NIP,1,0,0,0,0,0,1.1878684,3.072385287,19.56,4.75,LowTangent,N,OTHER_ANCHOR,169.51958100000004,312.81089,142.554688,75.424479,31.458333000000003,106.88281299999998,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,883,372.93,372.93,56.74,0.0,0.0,0.0,9949.7,2,180,0
GB08NBFA07247879721345,023-42-4787,2018-12-14,Tubing,0.0,50.0,60.0,144.0,89.74545288,5.8000001910000005,PACKER_DONNAN,0,0,0,0,0,0,1.1878684,3.072385287,3.0,4.75,LowTangent,N,OTHER_PACKER,178.934436,328.341473,147.772118,77.75438299999998,40.39517,118.149553,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,883,357.14,357.14,66.68,0.0,189.98,0.0,9950.8,2,540,0
GB58ZUQU25786991062610,027-35-3469,2018-07-06,Tubing,0.0,75.0,70.0,165.4163345,93.14800262,4.099999905,PACKER_DONNAN,0,0,0,0,0,0,1.15,0.6,20.71,8.13,LowTangent,N,OTHER_PACKER,154.012093,390.920814,234.184368,286.662921,262.044944,548.7078650000002,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,884,246.08,80.54,100.17,0.0,194.94,0.0,9657.1,2,89,0
GB65JGDC91213547702436,027-35-3469,2020-03-07,Tubing,0.0,75.0,70.0,168.22000119999996,85.30000305,6.099999905,PACKER_DONNAN,1,0,0,0,0,0,1.15,0.6,2.94,8.13,LowTangent,N,OTHER_PACKER,92.485652,59.93466,-14.788997,106.584947,125.029221,231.614168,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,884,189.19,80.85,99.68,0.0,0.0,0.0,9650.3,2,603,0
GB21FEGH93578188990169,038-74-2448,2017-12-14,Sucker Rod Pump,0.0,72.0,65.0,144.1999969,95.99720001,4.699999809,TAC_ABOVE_NIP,1,0,0,0,0,0,1.35,1.12,17.18,2.16,Vertical,N,OTHER_ANCHOR,21.843143,64.0575,53.468333,44.339056,55.06437800000001,99.403433,SUCKER_RODS_W_GUIDES,False,strategize next-generation users,SpecialService,872,100.62,100.62,100.62,0.0,0.0,0.0,9994.3,1.5,231,0
GB69ZJCX77050850968763,038-74-2448,2016-12-09,Tubing,0.0,72.0,65.0,144.1999969,94.34375,6.599999905,TAC_ABOVE_NIP,1,0,1,0,0,0,1.35,1.12,17.18,2.16,Vertical,N,OTHER_ANCHOR,66.976321,126.132969,59.156648,60.20765,61.566485,121.77413500000002,SLICK_SINKER_BARS,False,strategize next-generation users,D,872,97.47,97.47,97.47,0.0,0.0,0.0,10152.2,1.5,533,0
GB84IUGL93384799958364,043-77-0330,2019-05-14,Tubing,11.0,70.0,60.0,144.03999330000005,79.30000305,5.400000095,TAC_ABOVE_NIP,1,0,0,0,0,0,0.6713431,2.370786788,19.25,5.01,LowTangent,N,OTHER_ANCHOR,75.09956899999997,72.26904499999998,32.229,72.12640400000002,64.542857,136.669261,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,885,239.57,239.57,80.61,0.0,195.72,0.0,8998.6,2,197,0
GB30DWMK14186070144311,043-77-0330,2017-09-14,Sucker Rod Pump,0.0,70.0,60.0,144.03999330000005,88.29444122,5.626923084,TAC_BELOW_NIP,1,0,0,0,0,0,2.370787,2.370786788,17.15,5.01,LowTangent,N,OTHER_ANCHOR,87.66744,72.35112,-14.500079,99.595238,35.31746,134.912698,SLICK_SINKER_BARS,False,strategize next-generation users,D,885,292.75,292.75,292.75,0.0,0.0,0.0,9914.5,2,117,0
GB05ZGXJ07538811673664,043-77-0330,2017-05-16,Tubing,0.0,76.0,60.0,143.3271028,82.73999786,6.099999905,TAC_ABOVE_NIP,1,0,1,0,0,0,2.370787,2.370786788,17.17,5.01,LowTangent,N,OTHER_ANCHOR,83.628458,109.442907,27.76723,115.425947,38.003444,153.42939199999995,SLICK_SINKER_BARS,False,strategize next-generation users,D,885,254.29,254.29,254.29,0.0,0.0,0.0,9934.9,1.75,828,0
GB52JQVP65969114070730,043-85-7499,2016-11-02,Rods,0.0,75.0,0.0,144.00045980000004,55.39999771,6.599999905,TAC_ABOVE_NIP,1,0,1,1,0,0,1.0763896000000002,1.076389575,0.0,1.31,Vertical,Y,OTHER_ANCHOR,61.615044,58.993363,-2.621681,25.570796,16.506636999999998,42.077434,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,900,104.47,104.47,104.47,0.0,0.0,0.0,10258.9,1.5,435,0
GB10JGQR45163749147762,043-85-7499,2020-01-09,Sucker Rod Pump,0.0,75.0,0.0,144.1999969,77.8217392,4.400000095,TAC_ABOVE_NIP,1,1,0,0,0,0,1.0763896000000002,1.076389575,0.0,1.31,Vertical,Y,OTHER_ANCHOR,69.449528,67.55856,-1.890968,20.308078,12.42788,32.735957,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,900,104.76,104.76,104.76,0.0,0.0,0.0,10258.9,1.5,1163,0
GB32BETA50399231594159,045-18-5122,2018-06-21,Tubing,0.0,75.0,60.0,144.0,85.36428833,5.699999809,TAC_ABOVE_NIP,1,0,0,0,0,0,2.49,3.42,19.2,5.55,LowTangent,N,OTHER_ANCHOR,84.335104,92.621414,8.101024,78.026385,35.856201,113.882586,SINKER_BARS_W_GUIDED_SUBS,True,strategize next-generation users,SpecialService,884,294.44,294.44,217.73,0.0,0.0,0.0,9995.4,1.75,712,0
GB79ISVA19928676065662,045-18-5122,2016-07-06,Rods,0.0,75.0,60.0,144.0,88.02941132,5.266666889,TAC_ABOVE_NIP,1,0,1,0,0,0,2.49,3.42,19.2,5.55,LowTangent,N,OTHER_ANCHOR,81.831117,136.040351,54.209235,162.75658700000002,35.491844,198.248432,SINKER_BARS_W_GUIDED_SUBS,True,strategize next-generation users,SpecialService,884,378.62,378.62,210.74,0.0,0.0,0.0,9995.4,1.75,779,0
GB41XSZJ61447659213196,047-76-6584,2017-03-29,Tubing,0.0,75.0,65.0,169.4294899,95.34166718,5.8000001910000005,PACKER_DONNAN,1,0,0,0,0,0,3.74,3.42,20.7,7.57,LowTangent,N,arrowset,71.622528,69.73456,9.101703,62.230769,73.620879,135.851648,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,873,354.67,354.67,251.95,0.0,0.0,0.0,9917.0,1.75,179,0
GB61KIPH50478763365252,047-76-6584,2019-08-09,Tubing,0.0,75.0,65.0,169.4299927,76.80000305,5.099999905,PACKER_DONNAN,1,0,0,0,0,0,3.94,3.42,20.75,7.57,LowTangent,N,arrowset,65.703975,163.222654,98.292945,56.76135,95.067117,151.828466,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,873,333.98,333.98,333.98,0.0,424.44,0.0,8960.5,2,163,0
GB48POUQ84957527225698,047-76-6584,2020-04-06,Sucker Rod Pump,0.0,75.0,65.0,169.4299927,93.69999695,5.0,PACKER_DONNAN,0,0,0,0,0,0,3.94,3.42,20.75,7.57,LowTangent,N,arrowset,47.527102,89.190163,41.475789,33.73,58.015565,91.745565,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,873,332.02,332.02,326.49,0.0,424.44,0.0,8960.5,1.75,237,0
GB40MAVP24576157171568,047-76-6584,2019-02-11,Tubing,6.0,75.0,65.0,169.4299927,88.80588531,5.8000001910000005,PACKER_DONNAN,1,0,0,0,0,0,3.74,3.42,20.92,7.57,LowTangent,N,arrowset,93.616479,102.792695,16.864723,68.943717,98.861414,167.80513100000005,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,873,371.99,371.99,258.77,0.0,418.73,0.0,9374.8,1.75,676,0
GB88VKLI28223074642322,047-76-6584,2016-09-28,Tubing,0.0,75.0,65.0,169.3999939,95.97000122,5.8000001910000005,PACKER_DONNAN,0,0,0,0,0,0,3.74,3.42,20.72,7.57,LowTangent,N,arrowset,89.15177,80.027834,18.274013,83.0,115.643312,198.643312,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,873,357.38,357.38,275.43,0.0,0.0,0.0,9915.3,1.75,156,0
GB56UURS21868423919509,047-76-6584,2016-04-25,Sucker Rod Pump,0.0,75.0,65.0,169.3999939,96.80000305,5.696774483,PACKER_DONNAN,0,0,0,0,0,0,3.74,3.42,20.72,7.57,LowTangent,N,arrowset,56.767273,36.976765,-16.965789,11.815789,21.789474,33.605263,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,873,358.95,358.95,276.41,0.0,0.0,0.0,9915.3,1.75,35,0
GB69ZFVH10409361284436,054-89-1360,2017-08-15,Tubing,0.0,76.0,60.0,144.0,81.43636322,4.699999809,TAC_ABOVE_NIP,1,0,1,0,0,0,2.4193795,1.0,0.0,5.52,LowTangent,N,OTHER_ANCHOR,58.529525,106.262718,47.733193,65.097436,26.942308,92.039744,SINKER_BARS_W_GUIDED_SUBS,False,strategize next-generation users,SpecialService,874,165.81,75.12,165.81,0.0,0.0,0.0,9668.2,1.75,731,0
GB94VKHH66904448476219,063-01-5615,2020-02-03,Tubing,0.0,75.0,65.0,165.3959946,98.0,6.0,TAC_BELOW_NIP,0,0,0,0,0,0,2.07,2.73,17.11,11.79,HighTangent,N,OTHER_ANCHOR,183.574054,229.278286,63.447846,386.059839,449.704819,835.7646589999998,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,903,296.06,296.06,131.89,0.0,260.7,0.0,8716.6,2,235,0
GB42WWDN08927505736483,065-38-4446,2018-04-06,Tubing,0.0,75.0,60.0,144.0,89.22399902,5.699999809,TAC_BELOW_NIP,0,0,0,0,1,1,4.1,4.15,17.12,16.19,HighTangent,N,OTHER_ANCHOR,99.907884,120.768263,21.604798,93.791604,9.17991,102.971514,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,886,435.75,435.75,203.67,0.0,0.0,0.0,9854.9,1.75,636,0
GB26AFYG93176099914377,065-38-4446,2019-10-21,Tubing,5.0,75.0,65.0,144.0399173,86.59999847,7.400000095,TAC_BELOW_NIP,0,0,0,0,1,1,4.1,4.15,17.32,16.19,HighTangent,N,OTHER_ANCHOR,74.499578,96.052285,21.440366,50.536237,13.886115,64.422352,UNKNOWN,True,mesh enterprise portals,SpecialService,886,411.18,411.18,182.6,0.0,129.13,0.0,9789.0,1.5,560,0
GB35CJZS70231935856840,065-38-4446,2016-06-30,Tubing,0.0,75.0,60.0,144.0,93.11250305,5.699999809,TAC_ABOVE_NIP,0,0,1,0,1,0,4.78,4.15,17.53,16.19,HighTangent,N,OTHER_ANCHOR,99.40509,230.496452,131.091362,187.894602,62.344473,250.239075,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,886,476.84,476.84,476.84,0.0,0.0,0.0,9937.6,1.75,366,0
GB09FLYI82716511229994,065-61-0852,2017-07-21,Tubing,0.0,75.0,60.0,144.0,0.0,0.0,TAC_BELOW_NIP,1,0,0,0,0,0,1.3566764999999998,3.307563212,17.12,7.2,LowTangent,N,OTHER_ANCHOR,44.498548,113.674728,68.37475400000001,64.930328,22.844262,87.77459,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,885,334.22,334.22,98.6,0.0,0.0,0.0,10031.4,1.75,243,0
GB62OORI98113165632693,069-03-2427,2018-01-31,Tubing,0.0,75.0,60.0,144.0,10.29440594,4.3259263039999984,TAC_ABOVE_NIP,1,1,1,1,0,0,1.28,1.28,19.3,1.33,Vertical,Y,OTHER_ANCHOR,64.24100200000001,73.825795,9.584792,33.268519,13.476019,46.744538,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,D,900,100.78,100.78,100.78,0.0,0.0,0.0,9917.6,1.5,1611,0
GB16AJTN93133574940995,074-83-1539,2019-04-01,Tubing,8.0,70.0,65.0,168.2599945,89.09999847,4.599999905,PACKER_DONNAN,0,0,0,0,0,0,2.06,2.4,2.94,7.65,LowTangent,Y,arrowset,318.637125,117.764375,-200.87275,211.651583,127.745875,339.3974580000001,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,872,261.88,261.88,124.34,0.0,349.26,0.0,9803.0,1.75,234,0
GB21HDSP60119664150321,074-83-1539,2018-08-06,Tubing,0.0,70.0,65.0,168.2599945,89.91666412,4.699999809,PACKER_DONNAN,1,0,0,0,0,0,2.4,2.4,20.7,7.65,LowTangent,Y,arrowset,109.049048,351.898835,287.3804810000001,213.769231,121.019231,334.7884620000001,SUCKER_RODS_W_GUIDES,False,mesh enterprise portals,SpecialService,872,252.1,252.1,252.1,0.0,0.0,0.0,10011.7,1.75,102,0
GB74PPOE15458819454700,077-48-1384,2020-01-29,Tubing,0.0,0.0,0.0,94.13793103,0.0,0.0,TAC_BELOW_NIP,1,0,0,0,0,0,2.4237187,3.519060133,17.12,6.68,LowTangent,N,OTHER_ANCHOR,73.784684,84.232129,10.2712,69.032388,34.709104,103.741493,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,883,231.39,231.39,158.55,0.0,0.0,0.0,9035.2,1.75,847,0
GB94QABQ75927494166823,078-62-6048,2018-06-16,Tubing,0.0,75.0,60.0,143.6999969,99.33846283,6.400000095,TAC_ABOVE_NIP,1,0,1,1,0,0,1.4752623,0.653497178,19.23,1.9,Vertical,N,OTHER_ANCHOR,109.713054,88.326155,-21.386898,50.440853,74.4663,124.907153,SLICK_SINKER_BARS,False,strategize next-generation users,D,900,69.83,69.83,69.83,0.0,0.0,0.0,10090.0,1.5,1384,0
GB20XRGN05048308929172,078-62-6048,2019-08-16,Tubing,0.0,75.0,60.0,143.9494017,99.80000305,6.400000095,TAC_ABOVE_NIP,1,0,0,0,0,0,1.4752623,0.653497178,0.0,1.9,Vertical,N,OTHER_ANCHOR,76.415267,52.985556,-24.388496,33.540376,52.018761,85.55913699999998,SLICK_SINKER_BARS,False,strategize next-generation users,D,900,64.1,64.1,64.1,0.0,0.0,0.0,10040.5,1.25,423,0
GB48VDHX60846748697683,081-62-8878,2019-06-24,Tubing,0.0,70.0,65.0,169.4299927,92.5,5.8000001910000005,TAC_BELOW_NIP,0,0,0,0,0,0,3.02,3.02,0.0,10.38,HighTangent,N,OTHER_ANCHOR,62.9325,80.994188,20.850965,74.913698,75.722347,150.636045,UNKNOWN,False,mesh enterprise portals,SpecialService,882,350.69,350.69,350.69,0.0,126.98,0.0,9836.6,1.75,300,0
GB58DOBJ44570279982341,081-62-8878,2017-02-17,Tubing,0.0,75.0,60.0,168.8047898,75.26249695,5.8000001910000005,TAC_ABOVE_NIP,1,0,0,0,0,0,3.02,3.02,17.11,10.38,HighTangent,N,OTHER_ANCHOR,84.199933,107.622847,22.018098,170.967532,68.561688,239.529221,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,882,311.24,311.24,311.24,0.0,0.0,0.0,9924.6,1.75,280,0
GB64YKVY25509400895843,082-04-4938,2018-03-01,Rods,0.0,75.0,50.0,144.0,84.1333313,6.5,TAC_ABOVE_NIP,1,1,0,0,0,0,1.3520617,1.142632539,17.85,2.29,Vertical,N,OTHER_ANCHOR,90.375325,141.028761,50.935782,80.831858,54.103245,134.935103,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,902,215.37,215.37,215.37,0.0,0.0,0.0,10320.0,1.5,319,0
GB95UUXZ71914116331171,082-04-4938,2016-06-06,Tubing,0.0,75.0,60.0,144.0,95.27143097,6.0,TAC_ABOVE_NIP,1,0,1,1,0,0,1.3520617,1.142632539,17.85,2.29,Vertical,N,OTHER_ANCHOR,108.151485,186.269813,78.914813,117.300623,68.59366,185.894283,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,902,234.9,234.9,234.9,0.0,0.0,0.0,10320.0,1.75,614,0
GB90LNTF00533517499673,082-04-4938,2018-06-30,Rods,0.0,75.0,50.0,144.0,96.0192337,6.5,TAC_ABOVE_NIP,1,0,0,0,0,0,1.3520617,1.142632539,17.85,2.29,Vertical,N,OTHER_ANCHOR,88.686923,80.25780999999998,-17.563109,58.697479,46.218487,104.915966,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,902,215.61,215.61,215.61,0.0,0.0,0.0,10320.0,1.5,114,0
GB65TAKL57877099128688,082-04-4938,2017-04-15,Tubing,0.0,75.0,60.0,144.0,96.48275757,6.199999809,TAC_ABOVE_NIP,1,1,0,0,0,0,1.3520617,1.142632539,17.85,2.29,Vertical,N,OTHER_ANCHOR,111.196893,123.811494,22.038176,87.741641,45.93617,133.67781200000002,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,902,216.16,216.16,216.16,0.0,0.0,0.0,10320.0,1.5,312,0
GB40TOHH59941559574829,082-04-4938,2019-03-29,Rods,0.0,80.0,65.0,144.0,95.40000153,6.5,TAC_ABOVE_NIP,1,0,0,0,0,0,1.3520617,1.142632539,17.85,2.29,Vertical,N,OTHER_ANCHOR,85.368482,77.668152,-7.563453999999999,61.304267,43.211238,104.515505,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,902,209.97,209.97,209.97,0.0,0.0,0.0,10320.0,1.5,272,0
GB91IXJS86193897161944,087-71-1484,2017-02-16,Sucker Rod Pump,0.0,75.0,60.0,144.0,74.6333313,5.2375001910000005,PACKER_DONNAN,1,0,1,0,0,0,1.49,1.49,20.73,1.7,Vertical,Y,OTHER_PACKER,70.654896,82.347116,12.344009,103.928043,23.761118,127.597861,SLICK_SINKER_BARS,False,strategize next-generation users,D,884,90.46,90.46,90.46,0.0,0.0,0.0,10154.0,1.5,1186,0
