roduid,UWI,FAILURETYPE,H2S_CONCENTRATION,PrimarySetpoint,SecondarySetpoint,StrokeLength,Fillage,YesterdaysAverageSPM,bha_configuration,chemgroup1_any,chemgroup1_all,chemgroup2_any,chemgroup2_all,chemgroup3_any,chemgroup3_all,max_unguided_dls,dls_high_in_hole,gas_anchor_length,MAX_INCLINATION,wellbore_category,manual_scale,packer_vs_tac,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_DIFFERENTIAL_PRESSURE,AVG_OIL_VOLUME,AVG_WATER_VOLUME,AVG_LIQUID_VOLUME,rod_sinker_type,rod_has_guides,rod_make,rod_apigrade,ROUTE,overall_max_sideload,shallow_max_sideload,max_unguided_sideload,CHROME_LENGTH,ENDURALLOY_LENGTH,POLY_LENGTH,NIPPLE_SET_DEPTH,pump_bore,lifetimedays,contains_imputed
GB64YKVY25509400895843,082-04-4938,Rods,0.0,75.0,50.0,144.0,84.1333313,6.5,TAC_ABOVE_NIP,1,1,0,0,0,0,1.3520617,1.142632539,17.85,2.29,Vertical,N,OTHER_ANCHOR,90.375325,141.028761,50.935782,80.831858,54.103245,134.935103,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,902,215.37,215.37,215.37,0.0,0.0,0.0,10320.0,1.5,319,0
GB90LNTF00533517499673,082-04-4938,Rods,0.0,75.0,50.0,144.0,96.0192337,6.5,TAC_ABOVE_NIP,1,0,0,0,0,0,1.3520617,1.142632539,17.85,2.29,Vertical,N,OTHER_ANCHOR,88.686923,80.25780999999998,-17.563109,58.697479,46.218487,104.915966,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,902,215.61,215.61,215.61,0.0,0.0,0.0,10320.0,1.5,114,0
GB40TOHH59941559574829,082-04-4938,Rods,0.0,80.0,65.0,144.0,95.40000153,6.5,TAC_ABOVE_NIP,1,0,0,0,0,0,1.3520617,1.142632539,17.85,2.29,Vertical,N,OTHER_ANCHOR,85.368482,77.668152,-7.563453999999999,61.304267,43.211238,104.515505,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,902,209.97,209.97,209.97,0.0,0.0,0.0,10320.0,1.5,272,0
GB08BDFY96482146060083,100-18-9193,Rods,0.0,70.0,60.0,144.0,48.75571442,5.515,PACKER_DONNAN,0,0,1,0,0,0,2.7026465,0.561569744,20.73,1.52,Vertical,Y,arrowset,69.30404,79.191908,9.887869,83.003591,13.377026,96.381559,SINKER_BARS_W_GUIDED_SUBS,True,strategize next-generation users,D,874,126.77,40.98,126.77,0.0,0.0,0.0,9766.3,1.5,806,1
GB90PSWW72289390017773,103-79-0902,Rods,0.0,77.0,0.0,144.0,67.73077393,6.0,TAC_ABOVE_NIP,1,0,1,0,0,0,1.1644251,1.1644250859999998,18.77,1.95,Vertical,N,OTHER_ANCHOR,71.70043100000002,114.14901100000002,42.44858,107.959886,16.795399,124.713901,SLICK_SINKER_BARS,False,strategize next-generation users,D,875,99.58,99.58,99.58,0.0,0.0,0.0,9580.1,1.5,775,0
GB52DNTH22332552753653,105-99-5418,Rods,0.0,75.0,60.0,144.03999330000005,97.53125,5.699999809,PACKER_DONNAN,1,0,0,0,0,0,2.8416724,1.623376833,20.71,5.4,LowTangent,N,arrowset,86.534175,125.71393,38.681573,113.472028,36.979021,150.451049,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,875,189.86,170.63,189.86,0.0,443.69,0.0,9001.8,1.75,284,0
GB19YHLA29027260263351,115-43-0977,Rods,0.0,75.0,60.0,144.0,84.228,5.515,PACKER_DONNAN,0,0,0,0,0,0,1.76,1.76,20.72,2.26,Vertical,N,OTHER_PACKER,76.258323,106.393211,30.134888,138.39793400000002,20.230818,158.66626000000005,SINKER_BARS_W_GUIDED_SUBS,True,strategize next-generation users,D,874,171.36,171.36,171.36,0.0,0.0,0.0,9648.6,1.5,488,1
GB81VHRM20937883846672,122-72-7260,Rods,0.0,80.0,65.0,144.1999969,80.76818085,4.699999809,TAC_ABOVE_NIP,1,0,0,0,0,0,0.7895713000000001,0.789571276,17.13,1.67,Vertical,N,OTHER_ANCHOR,59.071183,200.006075,140.934892,29.378505,12.901869,42.280374,SLICK_SINKER_BARS,False,strategize next-generation users,D,885,65.59,65.59,65.59,0.0,0.0,0.0,9899.3,1.75,209,0
GB58ZNIH60148915123369,122-72-7260,Rods,13.0,80.0,65.0,144.1999969,76.22592926,5.199999809,TAC_BELOW_NIP,1,0,0,0,0,0,0.7895713000000001,0.789571276,17.16,1.67,Vertical,N,OTHER_ANCHOR,58.16537099999999,91.973188,33.807817,43.810475,16.3346,60.145076,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,885,59.21,59.21,59.21,0.0,0.0,0.0,9914.1,1.75,448,0
GB68STHR93513075190488,122-72-7260,Rods,0.0,75.0,65.0,144.1999969,77.30000305,5.099999905,TAC_ABOVE_NIP,1,0,1,0,0,0,0.7895713000000001,0.789571276,17.13,1.67,Vertical,N,OTHER_ANCHOR,55.842905,131.246622,75.403716,23.434932,11.469178,34.90411,SLICK_SINKER_BARS,False,strategize next-generation users,D,885,54.18,54.18,54.18,0.0,0.0,0.0,9899.3,1.5,849,0
GB13CHHH18165930537493,141-39-9765,Rods,0.0,75.0,60.0,144.03999330000005,47.29999924,7.099999905,TAC_BELOW_NIP,0,0,0,0,1,0,1.49,2.94,19.22,5.79,LowTangent,N,OTHER_ANCHOR,72.644026,93.725625,-393.43859,57.173889,38.542991,95.71688,SINKER_BARS_W_GUIDED_SUBS,True,strategize next-generation users,SpecialService,886,202.26,202.26,113.27,0.0,0.0,0.0,9638.4,1.5,221,0
GB85KFXF98203497256415,154-19-4786,Rods,0.0,75.0,60.0,144.0,0.0,6.199999809,TAC_BELOW_NIP,1,0,0,0,0,0,1.6129032,1.612903226,17.16,3.5,Vertical,N,OTHER_ANCHOR,58.541778,51.811778,8.193333,66.291667,31.4375,97.729167,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,901,184.65,184.65,184.65,0.0,322.32,0.0,10298.3,1.75,47,0
GB28YFGD97360703713784,154-19-4786,Rods,0.0,80.0,60.0,144.0,96.33846283,6.199999809,TAC_BELOW_NIP,1,0,0,0,0,0,1.6129032,1.612903226,17.16,3.5,Vertical,N,OTHER_ANCHOR,94.896598,84.39192800000002,-11.219532,59.32311899999999,28.631491,87.95461,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,901,185.87,185.87,185.87,0.0,322.32,0.0,10298.3,1.75,672,0
GB70SSNT45257443951323,165-35-2102,Rods,0.0,75.0,60.0,144.0,91.37391663,5.199999809,TAC_ABOVE_NIP,1,1,0,0,0,0,8.32,8.32,19.26,1.9,Vertical,N,OTHER_ANCHOR,100.982152,144.986009,44.602545,64.29464300000001,26.299107,90.59375,SUCKER_RODS_W_GUIDES,False,strategize next-generation users,SpecialService,882,873.45,873.45,873.45,0.0,126.95,0.0,10213.5,1.75,215,0
GB69CORQ01271006042180,173-64-1339,Rods,0.0,75.0,60.0,144.0,92.0166626,5.8000001910000005,TAC_ABOVE_NIP,1,0,1,0,0,0,1.2709992,1.27099925,17.12,1.88,Vertical,N,OTHER_ANCHOR,72.604614,153.72358300000005,81.342771,123.5375,36.264583,159.802083,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,881,190.65,190.65,190.65,0.0,0.0,0.0,10020.6,1.75,436,0
GB04LBPC58041979503274,190-68-4039,Rods,0.0,75.0,60.0,168.0,63.21875,4.699999809,TAC_ABOVE_NIP,1,1,1,1,0,0,1.23,0.8,0.0,1.7,Vertical,N,OTHER_ANCHOR,63.651144,70.464968,6.813824,30.505182,6.044175,36.554131,SINKER_BARS_W_GUIDED_SUBS,False,strategize next-generation users,D,880,67.0,47.07,67.0,0.0,0.0,0.0,10236.0,1.25,1224,0
GB38EPKC15912356071487,192-37-7458,Rods,0.0,80.0,66.0,144.03999330000005,90.69999695,5.8000001910000005,TAC_ABOVE_NIP,1,0,0,0,0,0,2.2,2.2,19.51,3.9,Vertical,N,OTHER_ANCHOR,75.020313,285.186471,219.410882,82.345238,16.821667,99.166905,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,881,207.03,207.03,207.03,0.0,0.0,0.0,10133.8,1.75,40,0
GB16HKOF19729866493276,192-37-7458,Rods,0.0,80.0,66.0,144.0398269,84.77777863,5.803571701,TAC_ABOVE_NIP,1,0,0,0,0,0,2.2,2.2,17.15,3.9,Vertical,N,OTHER_ANCHOR,91.548246,127.414669,37.57585,109.022699,113.310214,222.332913,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,881,203.04,203.04,203.04,0.0,0.0,0.0,10159.7,1.75,748,0
GB92GTCQ45529056189202,193-32-6905,Rods,0.0,75.0,60.0,168.0200043,86.90000153,5.599999905,PACKER_DONNAN,1,0,0,0,0,0,4.7469730000000006,2.125256587,20.72,7.38,LowTangent,Y,arrowset,109.207446,192.445612,82.590681,81.751489,50.60191500000001,132.353404,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,905,307.64,307.64,307.64,0.0,262.06,0.0,10484.2,1.75,227,0
GB54DWVO54573984166905,193-99-8311,Rods,0.0,75.0,60.0,169.3999939,79.86923218,5.099999905,TAC_BELOW_NIP,1,1,0,0,0,0,1.8024598000000005,1.802459885,17.13,8.05,LowTangent,N,OTHER_ANCHOR,98.611111,104.559724,-5.987445,57.539216,29.963235,87.50245100000002,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,883,208.86,208.86,208.86,0.0,128.66,0.0,9959.0,1.75,390,0
GB63QMHL31550418044372,195-69-0643,Rods,0.0,80.0,70.0,144.0,85.93333435,4.8000001910000005,TAC_ABOVE_NIP,1,0,1,0,0,0,1.7,1.7,19.38,1.6,Vertical,N,OTHER_ANCHOR,74.70277800000002,87.06971800000002,12.36694,109.370038,33.633086,143.003124,SINKER_BARS_W_GUIDED_SUBS,True,strategize next-generation users,SpecialService,884,174.29,174.29,174.29,0.0,0.0,0.0,10142.8,1.75,744,0
GB89BWRW92288564530792,200-60-5443,Rods,0.0,80.0,50.0,168.00385319999995,64.30000305,6.099999905,TAC_BELOW_NIP,1,1,0,0,0,0,2.61,1.69,17.13,10.68,HighTangent,N,OTHER_ANCHOR,120.044135,99.305813,-20.738322,102.215862,74.482155,176.698017,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,901,139.28,29.5,139.28,0.0,318.61,0.0,10140.0,1.75,1118,0
GB89WLFG22600560090464,200-60-5443,Rods,0.0,75.0,65.0,169.3999939,100.0,4.3000001910000005,TAC_ABOVE_NIP,1,0,0,0,0,0,2.61,1.69,17.1,10.68,HighTangent,N,OTHER_ANCHOR,234.62375,321.876875,80.96942,291.478261,227.376812,518.855072,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,901,190.95,33.08,117.4,0.0,0.0,0.0,10154.1,2,66,0
GB24IAJV52167599448432,201-82-4743,Rods,0.0,75.0,0.0,149.409989,84.64782715,7.199999809,TAC_ABOVE_NIP,1,1,0,0,0,0,3.03,1.45,0.0,2.23,Vertical,N,OTHER_ANCHOR,93.199096,109.639759,15.675166,85.72053000000002,43.690066,129.410596,SLICK_SINKER_BARS,False,strategize next-generation users,D,905,137.88,64.81,137.88,0.0,0.0,0.0,10519.4,1.75,709,0
GB65RFOA20674936118854,202-17-9699,Rods,0.0,76.0,60.0,144.03999330000005,93.19999695,5.099999905,TAC_BELOW_NIP,0,0,0,0,1,1,4.7187977,2.390884828,0.0,5.84,LowTangent,N,OTHER_ANCHOR,125.483228,280.62273,155.161175,98.765499,70.309088,169.074587,SUCKER_RODS_W_GUIDES,False,mesh enterprise portals,D,874,200.44,200.44,200.44,0.0,0.0,0.0,9678.4,1.5,344,0
GB49XRWU30992179668892,203-40-4803,Rods,0.0,75.0,60.0,144.0,94.8999939,5.699999809,PACKER_DONNAN,1,0,0,0,0,0,0.057187773,2.253,20.74,0.83,Vertical,Y,arrowset,75.14765799999998,102.275631,27.180313,99.928571,31.816964,131.74553600000002,SUCKER_RODS_W_GUIDES,False,mesh enterprise portals,SpecialService,875,273.65,273.65,273.65,0.0,186.75,0.0,9550.4,1.75,224,1
GB94MMKR95375168329746,207-01-3041,Rods,0.0,80.0,65.0,144.1999969,81.0,5.5,TAC_BELOW_NIP,1,0,0,0,0,0,1.272284,1.051525398,17.38,1.52,Vertical,N,slimline,87.856524,123.563127,35.29827299999999,64.222266,26.502124,90.72439,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,875,56.98,49.1,56.98,0.0,390.68,0.0,9613.8,1.75,322,0
GB96OPTT87315285545776,236-57-0134,Rods,0.0,75.0,0.0,144.0,92.04507446,5.0,PACKER_DONNAN,1,0,1,1,0,0,2.6925166000000003,1.623883055,20.75,1.93,Vertical,N,arrowset,30.817677000000003,33.748253000000005,-1.675603,17.734253,2.108518,19.844139,SLICK_SINKER_BARS,False,mesh enterprise portals,D,867,127.61,114.49,127.61,0.0,0.0,0.0,8819.3,1.25,2928,0
GB95VPEZ27794820909268,242-53-1621,Rods,0.0,75.0,65.0,169.4299927,70.34999847,5.099999905,TAC_BELOW_NIP,1,0,0,0,0,0,1.6147976000000002,2.7988505110000004,17.13,8.43,LowTangent,N,slimline,70.77656400000002,93.680403,22.998987,100.881013,24.087801,124.968815,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,882,241.46,241.46,134.07,0.0,128.56,0.0,9958.5,1.75,484,0
GB66ZHTI62040851317571,242-61-0906,Rods,0.0,75.0,60.0,169.25432980000005,63.5625,3.987499952,PACKER_DONNAN,1,0,1,0,0,0,2.61,1.14,20.75,2.5,Vertical,N,arrowset,61.79316899999999,74.398624,12.605455,45.758117,3.988366000000001,49.733117,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,885,133.66,78.84,133.66,0.0,0.0,0.0,9925.0,1.25,2115,0
GB41HWOP67358000838910,248-86-4549,Rods,0.0,75.0,60.0,144.0,84.228,5.515,PACKER_DONNAN,0,0,0,0,0,0,1.0677552,0.35484697,20.75,1.77,Vertical,N,OTHER_PACKER,70.758362,51.674393,-19.083969,61.45588000000001,36.422331,98.018956,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,900,44.52,31.42,44.52,0.0,0.0,0.0,9969.8,1.5,518,1
GB12WHBK13277356127903,248-86-4549,Rods,0.0,75.0,60.0,139.0,84.228,5.515,TAC_ABOVE_NIP,0,0,1,1,0,0,1.0677552,0.35484697,19.31,1.77,Vertical,N,OTHER_ANCHOR,13.872857000000002,11.998988,-1.873869,12.409583,10.244048,22.653631,SINKER_BARS_W_GUIDED_SUBS,False,mesh enterprise portals,SpecialService,900,47.86,26.42,47.86,0.0,0.0,0.0,9936.2,1.5,167,1
GB23EGNO05933978337483,248-86-4549,Rods,0.0,75.0,60.0,144.0,84.228,5.515,TAC_ABOVE_NIP,0,0,0,0,0,0,1.0677552,0.35484697,19.31,1.77,Vertical,N,OTHER_ANCHOR,60.82297,60.9025,0.07952999999999999,35.028144,18.050173,53.07831700000001,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,900,41.97,26.36,41.97,0.0,0.0,0.0,9936.2,1.5,404,1
GB79UAOJ66681370590681,252-05-9851,Rods,0.0,50.0,65.0,168.2599945,99.69999695,4.45714283,PACKER_DONNAN,0,0,0,0,0,0,0.58,2.86,17.15,14.52,HighTangent,N,hornet,93.836667,663.8,-63.77545500000001,15.090909,10.090909,25.181818,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,903,298.83,296.66,1.4,0.0,0.0,0.0,7994.9,2,22,0
GB85EHOS06427738861225,261-22-8393,Rods,0.0,75.0,0.0,144.0,89.5,6.5,TAC_BELOW_NIP,1,1,0,0,0,0,2.92,1.81,17.12,1.54,Vertical,N,OTHER_ANCHOR,89.161152,90.875969,1.7148169999999998,93.950194,48.190291,142.140485,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,901,150.94,150.94,150.94,0.0,318.21,0.0,10394.8,1.75,184,0
GB22PRUO71009654642488,261-99-5737,Rods,0.0,76.0,60.0,144.0,91.09999847,5.5,PACKER_DONNAN,0,0,1,0,0,0,2.3619847000000003,1.75259801,20.05,6.31,LowTangent,N,arrowset,71.31570699999997,227.189659,155.873951,278.090244,26.214634000000004,304.304878,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,874,275.96,275.96,275.96,0.0,0.0,0.0,9648.6,1.5,386,0
GB56VGCO51172970753940,273-75-6051,Rods,0.0,75.0,60.0,169.8123358,89.60624695,5.699999809,TAC_BELOW_NIP,1,0,0,0,0,0,1.88,1.88,17.12,5.89,LowTangent,N,OTHER_ANCHOR,70.83115,85.127455,13.96684,70.727273,65.406926,136.134199,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,872,205.9,205.9,205.9,0.0,0.0,0.0,10059.5,1.75,219,0
GB55SHFM04470975820878,286-84-6336,Rods,0.0,75.0,60.0,144.0,91.59999847,5.699999809,TAC_ABOVE_NIP,1,0,1,0,0,0,2.6834073,1.763367824,17.19,6.4,LowTangent,N,OTHER_ANCHOR,85.854917,89.408163,3.162532,78.59902,35.703922,114.302941,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,885,175.48,175.48,175.48,0.0,0.0,0.0,9443.4,1.75,975,0
GB25LRCQ17071264998723,289-93-3304,Rods,0.0,75.0,60.0,168.0,91.7516098,5.699999809,PACKER_DONNAN,1,0,0,0,0,0,2.67,2.21,20.7,3.64,Vertical,N,arrowset,76.354611,104.511243,32.210408,85.657609,62.5,148.157609,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,872,198.38,198.38,198.38,0.0,0.0,0.0,9889.4,1.75,356,0
GB69KZSS78709619890378,304-63-8430,Rods,0.0,75.0,60.0,168.0,95.69999695,6.0043478010000015,TAC_BELOW_NIP,1,0,0,0,0,0,2.437769,2.748864568,31.91,23.33,HighTangent,N,OTHER_ANCHOR,109.410492,83.959237,-27.499283,59.148022,25.534963,84.682985,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,871,230.66,230.66,92.14,0.0,1509.94,0.0,9580.2,1.5,213,0
GB51WHEI11294833857172,306-30-3331,Rods,0.0,75.0,60.0,144.0,98.11817932,7.0,TAC_ABOVE_NIP,1,0,1,1,0,0,2.66,2.66,0.0,5.74,LowTangent,N,OTHER_ANCHOR,102.443685,101.501231,0.028913,66.960483,40.479693,107.440176,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,902,260.49,260.49,260.49,0.0,0.0,0.0,10281.6,1.5,837,0
GB20MTHN30969406618851,306-30-3331,Rods,1.0,75.0,60.0,144.0,98.09999847,6.199999809,TAC_ABOVE_NIP,1,1,0,0,0,0,2.66,2.66,20.37,5.74,LowTangent,N,OTHER_ANCHOR,103.851536,85.1191,-18.405266,50.055579,30.299801,80.35538100000002,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,902,237.72,237.72,237.72,0.0,0.0,0.0,10319.8,1.5,548,0
GB09YIFZ66265237562889,322-19-7740,Rods,0.0,75.0,60.0,167.6275459,79.22692108,5.8000001910000005,TAC_BELOW_NIP,1,0,0,0,0,0,2.58,2.2,17.15,5.63,LowTangent,N,OTHER_ANCHOR,73.068252,82.354667,5.4180199999999985,84.611675,41.104061,125.715736,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,883,417.91,417.91,288.92,0.0,0.0,0.0,9820.6,1.75,379,0
GB33WCKJ40641066009922,325-16-9509,Rods,0.0,71.0,60.0,144.3999939,88.17153168,5.515,PACKER_DONNAN,0,0,1,1,0,0,6.14,6.14,17.1,1.76,Vertical,N,arrowset,74.968,102.688,27.72,197.84,32.224000000000004,230.064,SINKER_BARS_W_GUIDED_SUBS,False,strategize next-generation users,D,881,56.66,56.66,56.66,0.0,0.0,0.0,9831.4,1.5,119,1
GB52QKJG67785201627129,327-09-3106,Rods,0.0,75.0,60.0,144.0,84.228,5.515,PACKER_DONNAN,0,0,0,0,0,0,1.55,1.11,20.75,1.5,Vertical,Y,OTHER_PACKER,52.798614,73.664503,20.865889000000006,53.761114,9.696397,63.502506,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,882,106.79,106.79,106.79,0.0,0.0,0.0,10303.7,1.5,432,1
GB21WCXW54380771075770,327-09-3106,Rods,0.0,75.0,60.0,146.46000669999995,96.0,4.5,TAC_BELOW_NIP,1,0,0,0,0,0,1.55,1.11,19.24,1.5,Vertical,Y,OTHER_ANCHOR,62.63,67.807389,4.937104,53.788133,12.704398,66.492531,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,882,107.41,106.15,107.41,0.0,0.0,0.0,10272.3,1.5,477,0
GB55VWTY71432502113740,333-68-3523,Rods,0.0,80.0,65.0,168.0,92.5,6.088888645,TAC_BELOW_NIP,1,0,0,0,0,0,1.83,1.65,20.62,2.3,Vertical,N,OTHER_ANCHOR,62.37439000000001,65.847778,3.473388,47.592527,10.126263,57.71879000000001,SINKER_BARS_W_GUIDED_SUBS,False,mesh enterprise portals,SpecialService,882,179.24,179.24,179.24,0.0,261.11,0.0,10192.9,1.75,331,0
GB57PDFP97289602022107,333-68-3523,Rods,0.0,75.0,60.0,144.0,84.228,5.515,TAC_ABOVE_NIP,0,0,0,0,0,0,1.83,1.65,38.13,2.3,Vertical,N,OTHER_ANCHOR,60.808824,67.5,6.691176,36.742868,3.226667,39.869926,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,882,177.92,177.92,177.92,0.0,0.0,0.0,10384.2,1.5,211,1
GB21ACOX23837824129877,337-34-7111,Rods,0.0,75.0,0.0,144.0,72.85384369,7.599999905,TAC_ABOVE_NIP,1,1,1,1,0,0,1.242159,1.237596327,19.2,2.25,Vertical,N,OTHER_ANCHOR,96.878593,102.728855,5.788974,106.421032,17.915086,124.336117,SLICK_SINKER_BARS,True,mesh enterprise portals,D,902,102.54,102.54,102.54,0.0,0.0,0.0,10320.5,1.5,1286,0
GB22VENE17233848139123,341-04-7343,Rods,0.0,75.0,60.0,144.0,95.72142792,7.099999905,TAC_ABOVE_NIP,1,0,0,0,0,0,1.5852947,2.253,17.15,7.89,LowTangent,N,OTHER_ANCHOR,97.202644,112.139014,14.867194,119.696172,60.28708100000001,179.98325400000004,SINKER_BARS_W_GUIDED_SUBS,False,mesh enterprise portals,SpecialService,902,163.8,163.8,163.8,0.0,0.0,0.0,10341.4,1.75,384,1
